,System,Formula,Algorithm,satisfied,ifp,ttot
0,robots_50.aut,formula_exists_infinite_winning_strategy.mcf,NAIVE,False,38,0.203125
1,robots_50.aut,formula_exists_infinite_winning_strategy.mcf,EMERSON_LEI,False,38,0.375
2,robots_50.aut,formula_exists_winning_play.mcf,NAIVE,True,43,0.453125
3,robots_50.aut,formula_exists_winning_play.mcf,EMERSON_LEI,True,43,0.515625
4,robots_50.aut,formula_exists_winning_strategy.mcf,NAIVE,False,18,0.5625
5,robots_50.aut,formula_exists_winning_strategy.mcf,EMERSON_LEI,False,18,0.609375
6,robots_100.aut,formula_exists_infinite_winning_strategy.mcf,NAIVE,True,206,29.015625
7,robots_100.aut,formula_exists_infinite_winning_strategy.mcf,EMERSON_LEI,True,206,64.0
8,robots_100.aut,formula_exists_winning_play.mcf,NAIVE,True,152,71.671875
9,robots_100.aut,formula_exists_winning_play.mcf,EMERSON_LEI,True,152,78.71875
10,robots_100.aut,formula_exists_winning_strategy.mcf,NAIVE,True,102,86.65625
11,robots_100.aut,formula_exists_winning_strategy.mcf,EMERSON_LEI,True,102,94.265625
12,robots_150.aut,formula_exists_infinite_winning_strategy.mcf,NAIVE,True,306,209.890625
13,robots_150.aut,formula_exists_infinite_winning_strategy.mcf,EMERSON_LEI,True,306,308.984375
14,robots_150.aut,formula_exists_winning_play.mcf,NAIVE,True,227,333.84375
15,robots_150.aut,formula_exists_winning_play.mcf,EMERSON_LEI,True,227,357.984375
16,robots_150.aut,formula_exists_winning_strategy.mcf,NAIVE,True,152,384.796875
17,robots_150.aut,formula_exists_winning_strategy.mcf,EMERSON_LEI,True,152,411.359375
18,robots_200.aut,formula_exists_infinite_winning_strategy.mcf,NAIVE,False,138,435.40625
19,robots_200.aut,formula_exists_infinite_winning_strategy.mcf,EMERSON_LEI,False,138,459.265625
20,robots_200.aut,formula_exists_winning_play.mcf,NAIVE,True,168,469.234375
21,robots_200.aut,formula_exists_winning_play.mcf,EMERSON_LEI,True,168,478.921875
22,robots_200.aut,formula_exists_winning_strategy.mcf,NAIVE,False,68,485.4375
23,robots_200.aut,formula_exists_winning_strategy.mcf,EMERSON_LEI,False,68,491.890625
24,robots_250.aut,formula_exists_infinite_winning_strategy.mcf,NAIVE,True,506,991.015625
25,robots_250.aut,formula_exists_infinite_winning_strategy.mcf,EMERSON_LEI,True,506,1488.921875
26,robots_250.aut,formula_exists_winning_play.mcf,NAIVE,True,377,1618.0
27,robots_250.aut,formula_exists_winning_play.mcf,EMERSON_LEI,True,377,1743.84375
28,robots_250.aut,formula_exists_winning_strategy.mcf,NAIVE,True,252,1880.125
29,robots_250.aut,formula_exists_winning_strategy.mcf,EMERSON_LEI,True,252,2014.828125
30,robots_300.aut,formula_exists_infinite_winning_strategy.mcf,NAIVE,True,606,2889.671875
31,robots_300.aut,formula_exists_infinite_winning_strategy.mcf,EMERSON_LEI,True,606,3325.0970204
32,robots_300.aut,formula_exists_winning_play.mcf,NAIVE,True,452,3978.140625
33,robots_300.aut,formula_exists_winning_play.mcf,EMERSON_LEI,True,452,3768.1126454
34,robots_300.aut,formula_exists_winning_strategy.mcf,NAIVE,True,302,4436.6875
35,robots_300.aut,formula_exists_winning_strategy.mcf,EMERSON_LEI,True,302,4671.609375
36,robots_350.aut,formula_exists_infinite_winning_strategy.mcf,NAIVE,False,4,4672.0
37,robots_350.aut,formula_exists_infinite_winning_strategy.mcf,EMERSON_LEI,False,4,4672.359375
38,robots_350.aut,formula_exists_winning_play.mcf,NAIVE,False,1,4672.421875
39,robots_350.aut,formula_exists_winning_play.mcf,EMERSON_LEI,False,1,4672.484375
40,robots_350.aut,formula_exists_winning_strategy.mcf,NAIVE,False,1,4672.59375
41,robots_350.aut,formula_exists_winning_strategy.mcf,EMERSON_LEI,False,1,4672.703125
42,robots_400.aut,formula_exists_infinite_winning_strategy.mcf,NAIVE,True,806,6394.9876454
43,robots_400.aut,formula_exists_infinite_winning_strategy.mcf,EMERSON_LEI,True,806,8531.0657704
44,robots_400.aut,formula_exists_winning_play.mcf,NAIVE,True,602,9510.765625
45,robots_400.aut,formula_exists_winning_play.mcf,EMERSON_LEI,True,602,10048.703125
46,robots_400.aut,formula_exists_winning_strategy.mcf,NAIVE,True,402,10203.659520399999
47,robots_400.aut,formula_exists_winning_strategy.mcf,EMERSON_LEI,True,402,10781.159520399999
48,robots_450.aut,formula_exists_infinite_winning_strategy.mcf,NAIVE,True,906,14073.628270399999
49,robots_450.aut,formula_exists_infinite_winning_strategy.mcf,EMERSON_LEI,True,906,17342.6907704
50,robots_450.aut,formula_exists_winning_play.mcf,NAIVE,True,677,18193.1907704
51,robots_450.aut,formula_exists_winning_play.mcf,EMERSON_LEI,True,677,19452.765625
52,robots_450.aut,formula_exists_winning_strategy.mcf,NAIVE,True,452,20353.453125
53,robots_450.aut,formula_exists_winning_strategy.mcf,EMERSON_LEI,True,452,21245.078125
54,robots_500.aut,formula_exists_infinite_winning_strategy.mcf,NAIVE,False,338,21710.453125
55,robots_500.aut,formula_exists_infinite_winning_strategy.mcf,EMERSON_LEI,False,338,21742.3938954
56,robots_500.aut,formula_exists_winning_play.mcf,NAIVE,True,418,22367.890625
57,robots_500.aut,formula_exists_winning_play.mcf,EMERSON_LEI,True,418,22559.75
58,robots_500.aut,formula_exists_winning_strategy.mcf,NAIVE,False,168,22255.7532704
59,robots_500.aut,formula_exists_winning_strategy.mcf,EMERSON_LEI,False,168,22812.703125
