,System,Formula,Algorithm,satisfied,ifp,ttot
0,german_linear_2.1.aut,infinitely_often_exclusive.mcf,NAIVE,True,25,0.0625
1,german_linear_2.1.aut,infinitely_often_exclusive.mcf,EMERSON_LEI,True,25,0.109375
2,german_linear_2.1.aut,infinite_run_no_access.mcf,NAIVE,True,27,0.140625
3,german_linear_2.1.aut,infinite_run_no_access.mcf,EMERSON_LEI,True,27,0.1875
4,german_linear_2.1.aut,invariantly_eventually_fair_shared_access.mcf,NAIVE,True,25,0.234375
5,german_linear_2.1.aut,invariantly_eventually_fair_shared_access.mcf,EMERSON_LEI,True,25,0.28125
6,german_linear_2.1.aut,invariantly_inevitably_exclusive_access.mcf,NAIVE,False,352,0.859375
7,german_linear_2.1.aut,invariantly_inevitably_exclusive_access.mcf,EMERSON_LEI,False,352,1.40625
8,german_linear_2.1.aut,invariantly_possibly_exclusive_access.mcf,NAIVE,True,25,1.4375
9,german_linear_2.1.aut,invariantly_possibly_exclusive_access.mcf,EMERSON_LEI,True,25,1.484375
10,german_linear_3.1.aut,infinitely_often_exclusive.mcf,NAIVE,True,29,2.40625
11,german_linear_3.1.aut,infinitely_often_exclusive.mcf,EMERSON_LEI,True,29,3.328125
12,german_linear_3.1.aut,infinite_run_no_access.mcf,NAIVE,True,42,4.21875
13,german_linear_3.1.aut,infinite_run_no_access.mcf,EMERSON_LEI,True,42,5.109375
14,german_linear_3.1.aut,invariantly_eventually_fair_shared_access.mcf,NAIVE,True,29,6.09375
15,german_linear_3.1.aut,invariantly_eventually_fair_shared_access.mcf,EMERSON_LEI,True,29,7.046875
16,german_linear_3.1.aut,invariantly_inevitably_exclusive_access.mcf,NAIVE,False,546,22.21875
17,german_linear_3.1.aut,invariantly_inevitably_exclusive_access.mcf,EMERSON_LEI,False,546,37.3125
18,german_linear_3.1.aut,invariantly_possibly_exclusive_access.mcf,NAIVE,True,29,38.34375
19,german_linear_3.1.aut,invariantly_possibly_exclusive_access.mcf,EMERSON_LEI,True,29,39.3125
20,german_linear_4.1.aut,infinitely_often_exclusive.mcf,NAIVE,True,33,48.359375
21,german_linear_4.1.aut,infinitely_often_exclusive.mcf,EMERSON_LEI,True,33,57.296875
22,german_linear_4.1.aut,infinite_run_no_access.mcf,NAIVE,True,58,67.171875
23,german_linear_4.1.aut,infinite_run_no_access.mcf,EMERSON_LEI,True,58,77.03125
24,german_linear_4.1.aut,invariantly_eventually_fair_shared_access.mcf,NAIVE,True,33,86.0625
25,german_linear_4.1.aut,invariantly_eventually_fair_shared_access.mcf,EMERSON_LEI,True,33,94.8125
26,german_linear_4.1.aut,invariantly_inevitably_exclusive_access.mcf,NAIVE,False,780,298.828125
27,german_linear_4.1.aut,invariantly_inevitably_exclusive_access.mcf,EMERSON_LEI,False,780,502.015625
28,german_linear_4.1.aut,invariantly_possibly_exclusive_access.mcf,NAIVE,True,33,510.890625
29,german_linear_4.1.aut,invariantly_possibly_exclusive_access.mcf,EMERSON_LEI,True,33,520.28125
30,german_linear_5.1.aut,infinitely_often_exclusive.mcf,NAIVE,True,37,576.375
31,german_linear_5.1.aut,infinitely_often_exclusive.mcf,EMERSON_LEI,True,37,632.90625
32,german_linear_5.1.aut,infinite_run_no_access.mcf,NAIVE,True,74,707.984375
33,german_linear_5.1.aut,infinite_run_no_access.mcf,EMERSON_LEI,True,74,783.875
34,german_linear_5.1.aut,invariantly_eventually_fair_shared_access.mcf,NAIVE,True,37,406.62827039999996
35,german_linear_5.1.aut,invariantly_eventually_fair_shared_access.mcf,EMERSON_LEI,True,37,890.109375
36,german_linear_5.1.aut,invariantly_inevitably_exclusive_access.mcf,NAIVE,False,1054,2014.546875
37,german_linear_5.1.aut,invariantly_inevitably_exclusive_access.mcf,EMERSON_LEI,False,1054,3125.390625
38,german_linear_5.1.aut,invariantly_possibly_exclusive_access.mcf,NAIVE,True,37,3174.125
39,german_linear_5.1.aut,invariantly_possibly_exclusive_access.mcf,EMERSON_LEI,True,37,3223.328125
