,System,Formula,Algorithm,satisfied,ifp,ttot
0,german_linear_2.1.aut,infinitely_often_exclusive.mcf,NAIVE,True,25,0.0625
1,german_linear_2.1.aut,infinitely_often_exclusive.mcf,EMERSON_LEI,True,25,0.046875
2,german_linear_2.1.aut,infinite_run_no_access.mcf,NAIVE,True,27,0.03125
3,german_linear_2.1.aut,infinite_run_no_access.mcf,EMERSON_LEI,True,27,0.078125
4,german_linear_2.1.aut,invariantly_eventually_fair_shared_access.mcf,NAIVE,True,25,0.046875
5,german_linear_2.1.aut,invariantly_eventually_fair_shared_access.mcf,EMERSON_LEI,True,25,0.046875
6,german_linear_2.1.aut,invariantly_inevitably_exclusive_access.mcf,NAIVE,False,352,0.484375
7,german_linear_2.1.aut,invariantly_inevitably_exclusive_access.mcf,EMERSON_LEI,False,58,0.09375
8,german_linear_2.1.aut,invariantly_possibly_exclusive_access.mcf,NAIVE,True,25,0.046875
9,german_linear_2.1.aut,invariantly_possibly_exclusive_access.mcf,EMERSON_LEI,True,25,0.046875
10,german_linear_3.1.aut,infinitely_often_exclusive.mcf,NAIVE,True,29,0.46875
11,german_linear_3.1.aut,infinitely_often_exclusive.mcf,EMERSON_LEI,True,29,0.5
12,german_linear_3.1.aut,infinite_run_no_access.mcf,NAIVE,True,42,0.453125
13,german_linear_3.1.aut,infinite_run_no_access.mcf,EMERSON_LEI,True,42,0.46875
14,german_linear_3.1.aut,invariantly_eventually_fair_shared_access.mcf,NAIVE,True,29,0.5
15,german_linear_3.1.aut,invariantly_eventually_fair_shared_access.mcf,EMERSON_LEI,True,29,0.515625
16,german_linear_3.1.aut,invariantly_inevitably_exclusive_access.mcf,NAIVE,False,546,7.703125
17,german_linear_3.1.aut,invariantly_inevitably_exclusive_access.mcf,EMERSON_LEI,False,71,1.15625
18,german_linear_3.1.aut,invariantly_possibly_exclusive_access.mcf,NAIVE,True,29,0.546875
19,german_linear_3.1.aut,invariantly_possibly_exclusive_access.mcf,EMERSON_LEI,True,29,0.53125
20,german_linear_4.1.aut,infinitely_often_exclusive.mcf,NAIVE,True,33,9.5
21,german_linear_4.1.aut,infinitely_often_exclusive.mcf,EMERSON_LEI,True,33,8.859375
22,german_linear_4.1.aut,infinite_run_no_access.mcf,NAIVE,True,58,10.59375
23,german_linear_4.1.aut,infinite_run_no_access.mcf,EMERSON_LEI,True,58,10.34375
24,german_linear_4.1.aut,invariantly_eventually_fair_shared_access.mcf,NAIVE,True,33,9.234375
25,german_linear_4.1.aut,invariantly_eventually_fair_shared_access.mcf,EMERSON_LEI,True,33,9.109375
26,german_linear_4.1.aut,invariantly_inevitably_exclusive_access.mcf,NAIVE,False,780,218.21875
27,german_linear_4.1.aut,invariantly_inevitably_exclusive_access.mcf,EMERSON_LEI,False,84,29.5
28,german_linear_4.1.aut,invariantly_possibly_exclusive_access.mcf,NAIVE,True,33,12.0625
29,german_linear_4.1.aut,invariantly_possibly_exclusive_access.mcf,EMERSON_LEI,True,33,12.0
30,german_linear_5.1.aut,infinitely_often_exclusive.mcf,NAIVE,True,37,494.4654796
31,german_linear_5.1.aut,infinitely_often_exclusive.mcf,EMERSON_LEI,True,37,64.375
32,german_linear_5.1.aut,infinite_run_no_access.mcf,NAIVE,True,74,86.265625
33,german_linear_5.1.aut,infinite_run_no_access.mcf,EMERSON_LEI,True,74,85.8125
34,german_linear_5.1.aut,invariantly_eventually_fair_shared_access.mcf,NAIVE,True,37,67.84375
35,german_linear_5.1.aut,invariantly_eventually_fair_shared_access.mcf,EMERSON_LEI,True,37,66.03125
36,german_linear_5.1.aut,invariantly_inevitably_exclusive_access.mcf,NAIVE,False,1054,1494.984375
37,german_linear_5.1.aut,invariantly_inevitably_exclusive_access.mcf,EMERSON_LEI,False,97,159.8125
38,german_linear_5.1.aut,invariantly_possibly_exclusive_access.mcf,NAIVE,True,37,67.59375
39,german_linear_5.1.aut,invariantly_possibly_exclusive_access.mcf,EMERSON_LEI,True,37,66.921875
