,System,Formula,Algorithm,satisfied,ifp,ttot
0,german_linear_2.1.aut,infinitely_often_exclusive.mcf,NAIVE,True,25,0.078125
1,german_linear_2.1.aut,infinitely_often_exclusive.mcf,EMERSON_LEI,True,25,0.109375
2,german_linear_2.1.aut,infinite_run_no_access.mcf,NAIVE,True,27,0.140625
3,german_linear_2.1.aut,infinite_run_no_access.mcf,EMERSON_LEI,True,27,0.171875
4,german_linear_2.1.aut,invariantly_eventually_fair_shared_access.mcf,NAIVE,True,25,0.21875
5,german_linear_2.1.aut,invariantly_eventually_fair_shared_access.mcf,EMERSON_LEI,True,25,0.25
6,german_linear_2.1.aut,invariantly_inevitably_exclusive_access.mcf,NAIVE,False,352,0.734375
7,german_linear_2.1.aut,invariantly_inevitably_exclusive_access.mcf,EMERSON_LEI,False,352,1.1875
8,german_linear_2.1.aut,invariantly_possibly_exclusive_access.mcf,NAIVE,True,25,1.265625
9,german_linear_2.1.aut,invariantly_possibly_exclusive_access.mcf,EMERSON_LEI,True,25,1.3125
10,german_linear_3.1.aut,infinitely_often_exclusive.mcf,NAIVE,True,29,1.859375
11,german_linear_3.1.aut,infinitely_often_exclusive.mcf,EMERSON_LEI,True,29,2.328125
12,german_linear_3.1.aut,infinite_run_no_access.mcf,NAIVE,True,42,2.828125
13,german_linear_3.1.aut,infinite_run_no_access.mcf,EMERSON_LEI,True,42,3.296875
14,german_linear_3.1.aut,invariantly_eventually_fair_shared_access.mcf,NAIVE,True,29,3.78125
15,german_linear_3.1.aut,invariantly_eventually_fair_shared_access.mcf,EMERSON_LEI,True,29,4.25
16,german_linear_3.1.aut,invariantly_inevitably_exclusive_access.mcf,NAIVE,False,546,11.859375
17,german_linear_3.1.aut,invariantly_inevitably_exclusive_access.mcf,EMERSON_LEI,False,546,19.625
18,german_linear_3.1.aut,invariantly_possibly_exclusive_access.mcf,NAIVE,True,29,20.171875
19,german_linear_3.1.aut,invariantly_possibly_exclusive_access.mcf,EMERSON_LEI,True,29,20.71875
20,german_linear_4.1.aut,infinitely_often_exclusive.mcf,NAIVE,True,33,31.078125
21,german_linear_4.1.aut,infinitely_often_exclusive.mcf,EMERSON_LEI,True,33,41.0625
22,german_linear_4.1.aut,infinite_run_no_access.mcf,NAIVE,True,58,52.328125
23,german_linear_4.1.aut,infinite_run_no_access.mcf,EMERSON_LEI,True,58,64.609375
24,german_linear_4.1.aut,invariantly_eventually_fair_shared_access.mcf,NAIVE,True,33,75.59375
25,german_linear_4.1.aut,invariantly_eventually_fair_shared_access.mcf,EMERSON_LEI,True,33,86.53125
26,german_linear_4.1.aut,invariantly_inevitably_exclusive_access.mcf,NAIVE,False,780,302.703125
27,german_linear_4.1.aut,invariantly_inevitably_exclusive_access.mcf,EMERSON_LEI,False,780,517.3125
28,german_linear_4.1.aut,invariantly_possibly_exclusive_access.mcf,NAIVE,True,33,528.265625
29,german_linear_4.1.aut,invariantly_possibly_exclusive_access.mcf,EMERSON_LEI,True,33,539.171875
30,german_linear_5.1.aut,infinitely_often_exclusive.mcf,NAIVE,True,37,595.8125
31,german_linear_5.1.aut,infinitely_often_exclusive.mcf,EMERSON_LEI,True,37,652.78125
32,german_linear_5.1.aut,infinite_run_no_access.mcf,NAIVE,True,74,729.625
33,german_linear_5.1.aut,infinite_run_no_access.mcf,EMERSON_LEI,True,74,806.296875
34,german_linear_5.1.aut,invariantly_eventually_fair_shared_access.mcf,NAIVE,True,37,865.890625
35,german_linear_5.1.aut,invariantly_eventually_fair_shared_access.mcf,EMERSON_LEI,True,37,924.796875
36,german_linear_5.1.aut,invariantly_inevitably_exclusive_access.mcf,NAIVE,False,1054,2306.515625
37,german_linear_5.1.aut,invariantly_inevitably_exclusive_access.mcf,EMERSON_LEI,False,1054,3572.65625
38,german_linear_5.1.aut,invariantly_possibly_exclusive_access.mcf,NAIVE,True,37,3619.75
39,german_linear_5.1.aut,invariantly_possibly_exclusive_access.mcf,EMERSON_LEI,True,37,3667.375
