,System,Formula,Algorithm,satisfied,ifp,ttot
0,demanding_children_2.aut,attention_to_child_one.mcf,NAIVE,True,13,0.0
1,demanding_children_2.aut,attention_to_child_one.mcf,EMERSON_LEI,True,10,0.0
2,demanding_children_2.aut,attention_to_other_children.mcf,NAIVE,True,4,0.0
3,demanding_children_2.aut,attention_to_other_children.mcf,EMERSON_LEI,True,4,0.0
4,demanding_children_2.aut,eventual_questions.mcf,NAIVE,True,5,0.0
5,demanding_children_2.aut,eventual_questions.mcf,EMERSON_LEI,True,5,0.0
6,demanding_children_2.aut,no_skipping_wisdom.mcf,NAIVE,True,3,0.0
7,demanding_children_2.aut,no_skipping_wisdom.mcf,EMERSON_LEI,True,3,0.0
8,demanding_children_2.aut,question_after_other_children.mcf,NAIVE,False,7,0.0
9,demanding_children_2.aut,question_after_other_children.mcf,EMERSON_LEI,False,7,0.0
10,demanding_children_3.aut,attention_to_child_one.mcf,NAIVE,True,13,0.0
11,demanding_children_3.aut,attention_to_child_one.mcf,EMERSON_LEI,True,10,0.0
12,demanding_children_3.aut,attention_to_other_children.mcf,NAIVE,True,4,0.0
13,demanding_children_3.aut,attention_to_other_children.mcf,EMERSON_LEI,True,4,0.0
14,demanding_children_3.aut,eventual_questions.mcf,NAIVE,True,6,0.0
15,demanding_children_3.aut,eventual_questions.mcf,EMERSON_LEI,True,6,0.0
16,demanding_children_3.aut,no_skipping_wisdom.mcf,NAIVE,True,3,0.0
17,demanding_children_3.aut,no_skipping_wisdom.mcf,EMERSON_LEI,True,3,0.0
18,demanding_children_3.aut,question_after_other_children.mcf,NAIVE,False,7,0.0
19,demanding_children_3.aut,question_after_other_children.mcf,EMERSON_LEI,False,7,0.0
20,demanding_children_4.aut,attention_to_child_one.mcf,NAIVE,True,16,0.0
21,demanding_children_4.aut,attention_to_child_one.mcf,EMERSON_LEI,True,12,0.0
22,demanding_children_4.aut,attention_to_other_children.mcf,NAIVE,True,4,0.0
23,demanding_children_4.aut,attention_to_other_children.mcf,EMERSON_LEI,True,4,0.0
24,demanding_children_4.aut,eventual_questions.mcf,NAIVE,True,7,0.0
25,demanding_children_4.aut,eventual_questions.mcf,EMERSON_LEI,True,7,0.0
26,demanding_children_4.aut,no_skipping_wisdom.mcf,NAIVE,True,3,0.0
27,demanding_children_4.aut,no_skipping_wisdom.mcf,EMERSON_LEI,True,3,0.0
28,demanding_children_4.aut,question_after_other_children.mcf,NAIVE,False,7,0.0
29,demanding_children_4.aut,question_after_other_children.mcf,EMERSON_LEI,False,7,0.0
30,demanding_children_5.aut,attention_to_child_one.mcf,NAIVE,True,19,0.015625
31,demanding_children_5.aut,attention_to_child_one.mcf,EMERSON_LEI,True,14,0.0
32,demanding_children_5.aut,attention_to_other_children.mcf,NAIVE,True,4,0.015625
33,demanding_children_5.aut,attention_to_other_children.mcf,EMERSON_LEI,True,4,0.0
34,demanding_children_5.aut,eventual_questions.mcf,NAIVE,True,8,0.0
35,demanding_children_5.aut,eventual_questions.mcf,EMERSON_LEI,True,8,0.0
36,demanding_children_5.aut,no_skipping_wisdom.mcf,NAIVE,True,3,0.0
37,demanding_children_5.aut,no_skipping_wisdom.mcf,EMERSON_LEI,True,3,0.0
38,demanding_children_5.aut,question_after_other_children.mcf,NAIVE,False,7,0.0
39,demanding_children_5.aut,question_after_other_children.mcf,EMERSON_LEI,False,7,0.0
40,demanding_children_6.aut,attention_to_child_one.mcf,NAIVE,True,22,0.015625
41,demanding_children_6.aut,attention_to_child_one.mcf,EMERSON_LEI,True,16,0.015625
42,demanding_children_6.aut,attention_to_other_children.mcf,NAIVE,True,4,0.0
43,demanding_children_6.aut,attention_to_other_children.mcf,EMERSON_LEI,True,4,0.0
44,demanding_children_6.aut,eventual_questions.mcf,NAIVE,True,9,0.0
45,demanding_children_6.aut,eventual_questions.mcf,EMERSON_LEI,True,9,0.0
46,demanding_children_6.aut,no_skipping_wisdom.mcf,NAIVE,True,3,0.0
47,demanding_children_6.aut,no_skipping_wisdom.mcf,EMERSON_LEI,True,3,0.0
48,demanding_children_6.aut,question_after_other_children.mcf,NAIVE,False,7,0.0
49,demanding_children_6.aut,question_after_other_children.mcf,EMERSON_LEI,False,7,0.0
50,demanding_children_7.aut,attention_to_child_one.mcf,NAIVE,True,25,0.03125
51,demanding_children_7.aut,attention_to_child_one.mcf,EMERSON_LEI,True,18,0.015625
52,demanding_children_7.aut,attention_to_other_children.mcf,NAIVE,True,4,0.0
53,demanding_children_7.aut,attention_to_other_children.mcf,EMERSON_LEI,True,4,0.015625
54,demanding_children_7.aut,eventual_questions.mcf,NAIVE,True,10,0.015625
55,demanding_children_7.aut,eventual_questions.mcf,EMERSON_LEI,True,10,0.015625
56,demanding_children_7.aut,no_skipping_wisdom.mcf,NAIVE,True,3,0.015625
57,demanding_children_7.aut,no_skipping_wisdom.mcf,EMERSON_LEI,True,3,0.0
58,demanding_children_7.aut,question_after_other_children.mcf,NAIVE,False,7,0.0
59,demanding_children_7.aut,question_after_other_children.mcf,EMERSON_LEI,False,7,0.015625
60,demanding_children_8.aut,attention_to_child_one.mcf,NAIVE,True,28,0.078125
61,demanding_children_8.aut,attention_to_child_one.mcf,EMERSON_LEI,True,20,0.0625
62,demanding_children_8.aut,attention_to_other_children.mcf,NAIVE,True,4,0.015625
63,demanding_children_8.aut,attention_to_other_children.mcf,EMERSON_LEI,True,4,0.015625
64,demanding_children_8.aut,eventual_questions.mcf,NAIVE,True,11,0.03125
65,demanding_children_8.aut,eventual_questions.mcf,EMERSON_LEI,True,11,0.03125
66,demanding_children_8.aut,no_skipping_wisdom.mcf,NAIVE,True,3,0.015625
67,demanding_children_8.aut,no_skipping_wisdom.mcf,EMERSON_LEI,True,3,0.015625
68,demanding_children_8.aut,question_after_other_children.mcf,NAIVE,False,7,0.0
69,demanding_children_8.aut,question_after_other_children.mcf,EMERSON_LEI,False,7,0.0
70,demanding_children_9.aut,attention_to_child_one.mcf,NAIVE,True,31,0.234375
71,demanding_children_9.aut,attention_to_child_one.mcf,EMERSON_LEI,True,22,0.15625
72,demanding_children_9.aut,attention_to_other_children.mcf,NAIVE,True,4,0.015625
73,demanding_children_9.aut,attention_to_other_children.mcf,EMERSON_LEI,True,4,0.015625
74,demanding_children_9.aut,eventual_questions.mcf,NAIVE,True,12,0.09375
75,demanding_children_9.aut,eventual_questions.mcf,EMERSON_LEI,True,12,0.109375
76,demanding_children_9.aut,no_skipping_wisdom.mcf,NAIVE,True,3,0.015625
77,demanding_children_9.aut,no_skipping_wisdom.mcf,EMERSON_LEI,True,3,0.015625
78,demanding_children_9.aut,question_after_other_children.mcf,NAIVE,False,7,0.015625
79,demanding_children_9.aut,question_after_other_children.mcf,EMERSON_LEI,False,7,0.015625
80,demanding_children_10.aut,attention_to_child_one.mcf,NAIVE,True,34,0.796875
81,demanding_children_10.aut,attention_to_child_one.mcf,EMERSON_LEI,True,24,0.59375
82,demanding_children_10.aut,attention_to_other_children.mcf,NAIVE,True,4,0.109375
83,demanding_children_10.aut,attention_to_other_children.mcf,EMERSON_LEI,True,4,0.109375
84,demanding_children_10.aut,eventual_questions.mcf,NAIVE,True,13,0.421875
85,demanding_children_10.aut,eventual_questions.mcf,EMERSON_LEI,True,13,0.390625
86,demanding_children_10.aut,no_skipping_wisdom.mcf,NAIVE,True,3,0.046875
87,demanding_children_10.aut,no_skipping_wisdom.mcf,EMERSON_LEI,True,3,0.0625
88,demanding_children_10.aut,question_after_other_children.mcf,NAIVE,False,7,0.046875
89,demanding_children_10.aut,question_after_other_children.mcf,EMERSON_LEI,False,7,0.0625
