,System,Formula,Algorithm,satisfied,ifp,ttot
0,dining_2.aut,invariantly_inevitably_eat.mcf,NAIVE,False,9,0.00259136
1,dining_2.aut,invariantly_inevitably_eat.mcf,EMERSON_LEI,False,9,0.00424785
2,dining_2.aut,invariantly_plato_starves.mcf,NAIVE,False,24,0.009000168000000001
3,dining_2.aut,invariantly_plato_starves.mcf,EMERSON_LEI,False,12,0.011094058
4,dining_2.aut,invariantly_possibly_eat.mcf,NAIVE,False,63,0.029253819
5,dining_2.aut,invariantly_possibly_eat.mcf,EMERSON_LEI,False,63,0.039957322
6,dining_2.aut,plato_infinitely_often_can_eat.mcf,NAIVE,True,18,0.043357869
7,dining_2.aut,plato_infinitely_often_can_eat.mcf,EMERSON_LEI,True,18,0.04648161
8,dining_3.aut,invariantly_inevitably_eat.mcf,NAIVE,False,15,0.050296149000000005
9,dining_3.aut,invariantly_inevitably_eat.mcf,EMERSON_LEI,False,15,0.053446188000000006
10,dining_3.aut,invariantly_plato_starves.mcf,NAIVE,False,40,0.060240441000000006
11,dining_3.aut,invariantly_plato_starves.mcf,EMERSON_LEI,False,16,0.06269327300000001
12,dining_3.aut,invariantly_possibly_eat.mcf,NAIVE,False,108,0.093330932
13,dining_3.aut,invariantly_possibly_eat.mcf,EMERSON_LEI,False,108,0.11805958400000001
14,dining_3.aut,plato_infinitely_often_can_eat.mcf,NAIVE,True,24,0.124245907
15,dining_3.aut,plato_infinitely_often_can_eat.mcf,EMERSON_LEI,True,24,0.129299454
16,dining_4.aut,invariantly_inevitably_eat.mcf,NAIVE,False,28,0.141914911
17,dining_4.aut,invariantly_inevitably_eat.mcf,EMERSON_LEI,False,28,0.15352448100000002
18,dining_4.aut,invariantly_plato_starves.mcf,NAIVE,False,50,0.16751507100000002
19,dining_4.aut,invariantly_plato_starves.mcf,EMERSON_LEI,False,20,0.17328690000000002
20,dining_4.aut,invariantly_possibly_eat.mcf,NAIVE,False,180,0.23847946900000003
21,dining_4.aut,invariantly_possibly_eat.mcf,EMERSON_LEI,False,180,0.295190553
22,dining_4.aut,plato_infinitely_often_can_eat.mcf,NAIVE,True,30,0.305117523
23,dining_4.aut,plato_infinitely_often_can_eat.mcf,EMERSON_LEI,True,30,0.31233646200000004
24,dining_5.aut,invariantly_inevitably_eat.mcf,NAIVE,False,36,0.34821221300000005
25,dining_5.aut,invariantly_inevitably_eat.mcf,EMERSON_LEI,False,36,0.377878178
26,dining_5.aut,invariantly_plato_starves.mcf,NAIVE,False,65,0.42294397
27,dining_5.aut,invariantly_plato_starves.mcf,EMERSON_LEI,False,26,0.43852276500000004
28,dining_5.aut,invariantly_possibly_eat.mcf,NAIVE,False,252,0.6473283670000001
29,dining_5.aut,invariantly_possibly_eat.mcf,EMERSON_LEI,False,252,0.851489153
30,dining_5.aut,plato_infinitely_often_can_eat.mcf,NAIVE,True,36,0.893399645
31,dining_5.aut,plato_infinitely_often_can_eat.mcf,EMERSON_LEI,True,36,0.9228132240000001
32,dining_6.aut,invariantly_inevitably_eat.mcf,NAIVE,False,55,1.114152716
33,dining_6.aut,invariantly_inevitably_eat.mcf,EMERSON_LEI,False,55,1.29523593
34,dining_6.aut,invariantly_plato_starves.mcf,NAIVE,False,75,1.478871674
35,dining_6.aut,invariantly_plato_starves.mcf,EMERSON_LEI,False,30,1.5565401650000001
36,dining_6.aut,invariantly_possibly_eat.mcf,NAIVE,False,357,2.737225092
37,dining_6.aut,invariantly_possibly_eat.mcf,EMERSON_LEI,False,357,3.9682540800000004
38,dining_6.aut,plato_infinitely_often_can_eat.mcf,NAIVE,True,42,4.146665673
39,dining_6.aut,plato_infinitely_often_can_eat.mcf,EMERSON_LEI,True,42,4.315600787
40,dining_7.aut,invariantly_inevitably_eat.mcf,NAIVE,False,65,5.729455265
41,dining_7.aut,invariantly_inevitably_eat.mcf,EMERSON_LEI,False,65,7.181831143
42,dining_7.aut,invariantly_plato_starves.mcf,NAIVE,False,90,8.547877608
43,dining_7.aut,invariantly_plato_starves.mcf,EMERSON_LEI,False,36,9.137326824
44,dining_7.aut,invariantly_possibly_eat.mcf,NAIVE,False,456,19.179609005
45,dining_7.aut,invariantly_possibly_eat.mcf,EMERSON_LEI,False,456,28.974773027
46,dining_7.aut,plato_infinitely_often_can_eat.mcf,NAIVE,True,48,30.015523811
47,dining_7.aut,plato_infinitely_often_can_eat.mcf,EMERSON_LEI,True,48,31.053827792000003
48,dining_8.aut,invariantly_inevitably_eat.mcf,NAIVE,False,90,40.337205838
49,dining_8.aut,invariantly_inevitably_eat.mcf,EMERSON_LEI,False,90,49.483879272
50,dining_8.aut,invariantly_plato_starves.mcf,NAIVE,False,100,56.838914557
51,dining_8.aut,invariantly_plato_starves.mcf,EMERSON_LEI,False,40,59.797045047000005
52,dining_8.aut,invariantly_possibly_eat.mcf,NAIVE,False,594,118.840552008
53,dining_8.aut,invariantly_possibly_eat.mcf,EMERSON_LEI,False,594,176.73691345900002
54,dining_8.aut,plato_infinitely_often_can_eat.mcf,NAIVE,True,54,182.108968362
55,dining_8.aut,plato_infinitely_often_can_eat.mcf,EMERSON_LEI,True,54,187.448437027
56,dining_9.aut,invariantly_inevitably_eat.mcf,NAIVE,False,102,230.509818612
57,dining_9.aut,invariantly_inevitably_eat.mcf,EMERSON_LEI,False,102,272.516973145
58,dining_9.aut,invariantly_plato_starves.mcf,NAIVE,False,115,306.356906282
59,dining_9.aut,invariantly_plato_starves.mcf,EMERSON_LEI,False,46,320.487502676
60,dining_9.aut,invariantly_possibly_eat.mcf,NAIVE,False,720,622.253724442
61,dining_9.aut,invariantly_possibly_eat.mcf,EMERSON_LEI,False,720,912.7847164330001
62,dining_9.aut,plato_infinitely_often_can_eat.mcf,NAIVE,True,60,936.76814692
63,dining_9.aut,plato_infinitely_often_can_eat.mcf,EMERSON_LEI,True,60,960.76780168
64,dining_10.aut,invariantly_inevitably_eat.mcf,NAIVE,False,133,1191.243459758
65,dining_10.aut,invariantly_inevitably_eat.mcf,EMERSON_LEI,False,133,1415.0685000110002
