,System,Formula,Algorithm,satisfied,ifp,ttot
0,dining_2.aut,invariantly_inevitably_eat.mcf,NAIVE,False,6,0.0022499570000000003
1,dining_2.aut,invariantly_inevitably_eat.mcf,EMERSON_LEI,False,9,0.005220344
2,dining_2.aut,invariantly_plato_starves.mcf,NAIVE,True,6,0.006624581
3,dining_2.aut,invariantly_plato_starves.mcf,EMERSON_LEI,False,13,0.009610397000000001
4,dining_2.aut,invariantly_possibly_eat.mcf,NAIVE,False,6,0.011990539000000001
5,dining_2.aut,invariantly_possibly_eat.mcf,EMERSON_LEI,False,63,0.028982089000000003
6,dining_2.aut,plato_infinitely_often_can_eat.mcf,NAIVE,False,6,0.030450639
7,dining_2.aut,plato_infinitely_often_can_eat.mcf,EMERSON_LEI,True,18,0.034719313
8,dining_3.aut,invariantly_inevitably_eat.mcf,NAIVE,False,6,0.03722704
9,dining_3.aut,invariantly_inevitably_eat.mcf,EMERSON_LEI,False,15,0.040749594
10,dining_3.aut,invariantly_plato_starves.mcf,NAIVE,True,6,0.04241902
11,dining_3.aut,invariantly_plato_starves.mcf,EMERSON_LEI,False,18,0.046114738
12,dining_3.aut,invariantly_possibly_eat.mcf,NAIVE,False,6,0.048976267000000004
13,dining_3.aut,invariantly_possibly_eat.mcf,EMERSON_LEI,False,108,0.082814644
14,dining_3.aut,plato_infinitely_often_can_eat.mcf,NAIVE,False,6,0.08444130100000001
15,dining_3.aut,plato_infinitely_often_can_eat.mcf,EMERSON_LEI,True,24,0.090934136
16,dining_4.aut,invariantly_inevitably_eat.mcf,NAIVE,False,6,0.094288309
17,dining_4.aut,invariantly_inevitably_eat.mcf,EMERSON_LEI,False,28,0.106914857
18,dining_4.aut,invariantly_plato_starves.mcf,NAIVE,True,6,0.10916209800000001
19,dining_4.aut,invariantly_plato_starves.mcf,EMERSON_LEI,False,22,0.11643434500000001
20,dining_4.aut,invariantly_possibly_eat.mcf,NAIVE,False,6,0.11965647600000001
21,dining_4.aut,invariantly_possibly_eat.mcf,EMERSON_LEI,False,180,0.210487689
22,dining_4.aut,plato_infinitely_often_can_eat.mcf,NAIVE,False,6,0.21292687600000001
23,dining_4.aut,plato_infinitely_often_can_eat.mcf,EMERSON_LEI,True,30,0.227827775
24,dining_5.aut,invariantly_inevitably_eat.mcf,NAIVE,False,6,0.237185464
25,dining_5.aut,invariantly_inevitably_eat.mcf,EMERSON_LEI,False,36,0.290797195
26,dining_5.aut,invariantly_plato_starves.mcf,NAIVE,True,6,0.297558467
27,dining_5.aut,invariantly_plato_starves.mcf,EMERSON_LEI,False,28,0.328146363
28,dining_5.aut,invariantly_possibly_eat.mcf,NAIVE,False,6,0.337497586
29,dining_5.aut,invariantly_possibly_eat.mcf,EMERSON_LEI,False,252,0.64530462
30,dining_5.aut,plato_infinitely_often_can_eat.mcf,NAIVE,False,6,0.648683212
31,dining_5.aut,plato_infinitely_often_can_eat.mcf,EMERSON_LEI,True,36,0.6989047150000001
